16 objects imported automatically (use -v 2 for details).
Company: ОБЩИНА ВАРНА % 2 - ОБЩИНСКА ПОЛИЦИЯ
Total Profit: -319.26
Prices for this company:
Date: 2026-07-01, Product: DIЕSЕL ЕКОNОМY, Final: 1.3990, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-01, Product: DIЕSЕL DОUВLЕ FILТЕRЕD, Final: 1.6190, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-01, Product: 95 ЕКОNОМY UNLЕАDЕD, Final: 1.3590, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-01, Product: ЕКО RАСING 100, Final: 1.6490, Eko: 0.0000, Disc: 0.0400
Date: 2026-07-01, Product: Е GАS LРG, Final: 1.0000, Eko: 0.0000, Disc: 0.0100
Date: 2026-07-01, Product: DIЕSЕL ЕКОNОМY, Final: 1.3990, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-01, Product: DIЕSЕL DОUВLЕ FILТЕRЕD, Final: 1.6190, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-01, Product: 95 ЕКОNОМY UNLЕАDЕD, Final: 1.3590, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-01, Product: ЕКО RАСING 100, Final: 1.6490, Eko: 0.0000, Disc: 0.0400
Date: 2026-07-01, Product: Е GАS LРG, Final: 1.0000, Eko: 0.0000, Disc: 0.0100
Date: 2026-07-01, Product: DIЕSЕL ЕКОNОМY, Final: 1.3990, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-01, Product: DIЕSЕL DОUВLЕ FILТЕRЕD, Final: 1.6190, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-01, Product: 95 ЕКОNОМY UNLЕАDЕD, Final: 1.3590, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-01, Product: ЕКО RАСING 100, Final: 1.6490, Eko: 0.0000, Disc: 0.0400
Date: 2026-07-01, Product: Е GАS LРG, Final: 1.0000, Eko: 0.0000, Disc: 0.0100
Date: 2026-07-01, Product: DIЕSЕL ЕКОNОМY, Final: 1.3990, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-01, Product: DIЕSЕL DОUВLЕ FILТЕRЕD, Final: 1.6190, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-01, Product: 95 ЕКОNОМY UNLЕАDЕD, Final: 1.3590, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-01, Product: ЕКО RАСING 100, Final: 1.6490, Eko: 0.0000, Disc: 0.0400
Date: 2026-07-01, Product: Е GАS LРG, Final: 1.0000, Eko: 0.0000, Disc: 0.0100
Date: 2026-07-01, Product: DIЕSЕL ЕКОNОМY, Final: 1.3990, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-01, Product: DIЕSЕL DОUВLЕ FILТЕRЕD, Final: 1.6190, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-01, Product: 95 ЕКОNОМY UNLЕАDЕD, Final: 1.3590, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-01, Product: ЕКО RАСING 100, Final: 1.6490, Eko: 0.0000, Disc: 0.0400
Date: 2026-07-01, Product: Е GАS LРG, Final: 1.0000, Eko: 0.0000, Disc: 0.0100
Date: 2026-07-01, Product: DIЕSЕL ЕКОNОМY, Final: 1.3990, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-01, Product: 95 ЕКОNОМY UNLЕАDЕD, Final: 1.3590, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-01, Product: DIЕSЕL DОUВLЕ FILТЕRЕD, Final: 1.6190, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-01, Product: ЕКО RАСING 100, Final: 1.6490, Eko: 0.0000, Disc: 0.0400
Date: 2026-07-01, Product: Е GАS LРG, Final: 1.0000, Eko: 0.0000, Disc: 0.0100
Date: 2026-07-04, Product: DIЕSЕL ЕКОNОМY, Final: 1.4060, Eko: 0.0000, Disc: 0.0300
Date: 2026-07-04, Product: DIЕSЕL DОUВLЕ FILТЕRЕD, Final: 1.5990, Eko: 0.0000, Disc: 0.0300
